iter	Passed	Remaining
0	1	89
1	2	80
2	3	75
3	4	69
4	5	68
5	6	66
6	7	64
7	9	63
8	10	62
9	11	60
10	12	58
11	13	57
12	14	56
13	15	54
14	16	54
15	17	52
16	18	51
17	20	51
18	21	49
19	22	48
20	23	47
21	24	46
22	25	45
23	26	44
24	27	43
25	28	42
26	29	41
27	31	39
28	32	39
29	33	38
30	34	36
31	35	35
32	36	34
33	37	33
34	38	32
35	39	31
36	40	29
37	42	28
38	43	27
39	44	26
40	45	25
41	46	24
42	47	23
43	48	22
44	49	20
45	50	19
46	51	18
47	52	17
48	53	16
49	54	15
50	55	14
51	56	13
52	57	12
53	58	10
54	59	9
55	60	8
56	61	7
57	63	6
58	64	5
59	65	4
60	66	3
61	67	2
62	68	1
63	69	0
