iter	Passed	Remaining
0	173	173005
1	175	87390
2	176	58756
3	178	44406
4	179	35781
5	181	30039
6	183	25966
7	194	24085
8	196	21596
9	198	19690
10	202	18189
11	204	16823
12	205	15638
13	207	14629
14	209	13757
15	210	12976
16	213	12370
17	217	11873
18	220	11405
19	222	10901
20	224	10460
21	226	10073
22	229	9729
23	232	9461
24	234	9162
25	237	8883
26	240	8676
27	242	8424
28	244	8190
29	248	8040
30	250	7836
31	253	7656
32	255	7474
33	257	7319
34	259	7163
35	262	7041
36	266	6934
37	268	6800
38	270	6665
39	272	6540
40	275	6437
41	277	6322
42	279	6217
43	281	6108
44	282	6000
45	284	5903
46	286	5805
47	288	5715
48	291	5655
49	293	5574
50	295	5490
51	296	5409
52	298	5335
53	300	5262
54	302	5189
55	305	5142
56	307	5088
57	309	5028
58	311	4965
59	313	4912
60	315	4853
61	316	4795
62	318	4739
63	321	4695
64	323	4647
65	325	4600
66	326	4553
67	329	4511
68	331	4472
69	335	4451
70	338	4425
71	340	4387
72	342	4344
73	344	4307
74	346	4276
75	357	4352
76	360	4326
77	363	4292
78	368	4300
79	370	4266
80	373	4234
81	375	4201
82	376	4159
83	378	4130
84	381	4110
85	383	4078
86	386	4054
87	388	4021
88	391	4002
89	394	3985
90	396	3965
91	399	3940
92	401	3912
93	402	3883
94	404	3855
95	406	3826
96	408	3799
97	411	3785
98	413	3761
99	415	3735
100	416	3708
101	418	3684
102	420	3660
103	422	3637
104	425	3627
105	429	3621
106	431	3601
107	433	3582
108	436	3565
109	438	3545
110	440	3525
111	442	3504
112	443	3484
113	445	3464
114	447	3446
115	450	3429
116	451	3410
117	454	3395
118	457	3387
119	459	3368
120	460	3348
121	462	3327
122	465	3320
123	467	3302
124	469	3287
125	471	3272
126	473	3256
127	475	3240
128	477	3226
129	479	3211
130	482	3197
131	484	3188
132	487	3177
133	489	3163
134	491	3151
135	494	3138
136	495	3123
137	497	3109
138	501	3105
139	503	3094
140	506	3085
141	507	3068
142	510	3057
143	512	3046
144	516	3046
145	520	3043
146	522	3034
147	525	3024
148	527	3015
149	534	3026
150	537	3023
151	542	3025
152	549	3044
153	553	3042
154	556	3035
155	562	3041
156	566	3043
157	569	3032
158	572	3030
159	575	3019
160	577	3009
161	581	3005
162	583	2997
163	587	2997
164	590	2986
165	600	3015
166	602	3004
167	604	2991
168	610	3003
169	612	2991
170	617	2991
171	627	3020
172	651	3113
173	657	3122
174	660	3112
175	663	3106
176	666	3097
177	668	3086
178	670	3075
179	672	3063
180	674	3052
181	676	3042
182	678	3030
183	680	3018
184	682	3006
185	684	2997
186	686	2986
187	688	2974
188	690	2963
189	694	2962
190	696	2949
191	697	2937
192	700	2929
193	703	2922
194	704	2910
195	706	2897
196	707	2885
197	709	2873
198	711	2863
199	713	2852
200	716	2846
201	718	2837
202	720	2828
203	722	2818
204	723	2807
205	725	2796
206	726	2784
207	728	2774
208	731	2767
209	733	2759
210	735	2749
211	737	2740
212	739	2731
213	740	2721
214	742	2711
215	744	2701
216	746	2693
217	748	2684
218	750	2676
219	752	2667
220	754	2658
221	756	2651
222	758	2641
223	761	2637
224	763	2630
225	765	2621
226	767	2611
227	768	2602
228	770	2593
229	771	2584
230	773	2574
231	777	2573
232	779	2565
233	781	2556
234	782	2548
235	784	2539
236	786	2531
237	787	2521
238	792	2524
239	794	2516
240	796	2507
241	797	2499
242	799	2491
243	802	2485
244	804	2480
245	807	2475
246	809	2466
247	810	2458
248	812	2450
249	814	2442
250	816	2435
251	818	2428
252	820	2422
253	822	2416
254	824	2408
255	826	2401
256	827	2392
257	829	2385
258	831	2378
259	833	2373
260	836	2369
261	838	2363
262	840	2355
263	842	2350
264	844	2343
265	847	2337
266	849	2330
267	851	2324
268	853	2319
269	855	2312
270	857	2306
271	859	2301
272	861	2294
273	863	2287
274	865	2281
275	867	2276
276	869	2269
277	871	2263
278	873	2256
279	875	2250
280	876	2243
281	879	2239
282	882	2236
283	885	2232
284	887	2226
285	889	2221
286	891	2214
287	893	2207
288	895	2201
289	897	2196
290	899	2190
291	900	2184
292	902	2177
293	904	2171
294	905	2164
295	907	2158
296	909	2152
297	912	2149
298	914	2142
299	915	2136
300	917	2131
301	920	2126
302	922	2121
303	924	2115
304	926	2111
305	929	2107
306	931	2101
307	932	2095
308	934	2090
309	936	2084
310	938	2078
311	939	2072
312	942	2068
313	944	2062
314	946	2057
315	947	2051
316	950	2047
317	951	2041
318	953	2035
319	956	2032
320	958	2027
321	960	2021
322	961	2015
323	965	2014
324	967	2009
325	969	2004
326	972	2001
327	974	1997
328	976	1991
329	977	1984
330	979	1978
331	980	1972
332	981	1966
333	983	1961
334	988	1961
335	990	1957
336	993	1954
337	995	1949
338	996	1943
339	998	1938
340	999	1932
341	1002	1929
342	1004	1924
343	1006	1918
344	1008	1914
345	1009	1908
346	1011	1903
347	1012	1897
348	1014	1891
349	1016	1887
350	1018	1883
351	1019	1877
352	1021	1872
353	1022	1866
354	1024	1860
355	1025	1855
356	1027	1850
357	1029	1846
358	1031	1842
359	1033	1838
360	1035	1832
361	1037	1827
362	1038	1822
363	1040	1817
364	1042	1813
365	1043	1807
366	1044	1802
367	1047	1798
368	1049	1793
369	1050	1789
370	1052	1784
371	1054	1780
372	1056	1775
373	1057	1770
374	1060	1766
375	1063	1765
376	1065	1760
377	1066	1755
378	1068	1750
379	1069	1745
380	1071	1740
381	1073	1736
382	1077	1736
383	1079	1731
384	1081	1728
385	1084	1724
386	1085	1719
387	1087	1714
388	1088	1710
389	1092	1709
390	1095	1705
391	1096	1701
392	1098	1696
393	1100	1692
394	1102	1687
395	1103	1683
396	1105	1678
397	1110	1679
398	1112	1675
399	1117	1676
400	1120	1673
401	1126	1675
402	1128	1672
403	1130	1667
404	1132	1664
405	1134	1660
406	1137	1657
407	1140	1654
408	1143	1652
409	1146	1649
410	1148	1645
411	1150	1642
412	1154	1640
413	1156	1637
414	1159	1633
415	1161	1630
416	1163	1626
417	1165	1622
418	1167	1619
419	1171	1617
420	1175	1616
421	1177	1612
422	1180	1609
423	1183	1607
424	1185	1604
425	1188	1601
426	1190	1598
427	1192	1594
428	1194	1590
429	1196	1586
430	1200	1585
431	1202	1581
432	1204	1577
433	1206	1573
434	1208	1569
435	1211	1567
436	1214	1564
437	1217	1561
438	1219	1558
439	1221	1554
440	1222	1550
441	1224	1545
442	1226	1542
443	1229	1539
444	1231	1536
445	1233	1532
446	1235	1528
447	1239	1527
448	1241	1523
449	1243	1519
450	1246	1517
451	1248	1514
452	1250	1510
453	1252	1506
454	1254	1502
455	1256	1498
456	1257	1494
457	1260	1491
458	1262	1488
459	1264	1484
460	1266	1480
461	1268	1476
462	1270	1473
463	1273	1470
464	1275	1467
465	1278	1464
466	1279	1460
467	1282	1457
468	1283	1453
469	1285	1449
470	1287	1445
471	1290	1443
472	1293	1440
473	1295	1437
474	1297	1433
475	1299	1430
476	1300	1426
477	1302	1422
478	1305	1420
479	1307	1416
480	1309	1413
481	1313	1411
482	1315	1408
483	1318	1405
484	1320	1402
485	1322	1399
486	1324	1395
487	1326	1391
488	1327	1387
489	1329	1383
490	1330	1379
491	1332	1375
492	1334	1372
493	1337	1369
494	1338	1365
495	1340	1362
496	1342	1358
497	1344	1355
498	1345	1351
499	1347	1347
500	1349	1344
